week;tow;PRN10;PRN16;PRN18;PRN20;PRN23;PRN26;PRN27;PRN29;PRN31;
2134;518472;23395668.3786;13481214.7451;14531734.4349;21105727.6326;20595913.2876;21573132.7045;12195034.8353;5272374.8980;25357785.3484;
2134;518473;23396267.8856;13483291.6890;14529400.4648;21104972.3518;20595439.8574;21574670.9994;12195029.9415;5271922.2603;25357105.8181;
2134;518474;23396867.1285;13485368.6795;14527066.4232;21104216.7369;20594966.1003;21576209.1389;12195025.1398;5271469.7801;25356425.9790;
2134;518475;23397466.1072;13487445.7166;14524732.3102;21103460.7877;20594492.0163;21577747.1231;12195020.4301;5271017.4574;25355745.8309;
2134;518476;23398064.8217;13489522.8004;14522398.1259;21102704.5044;20594017.6054;21579284.9518;12195015.8124;5270565.2921;25355065.3739;
2134;518477;23398663.2719;13491599.9306;14520063.8703;21101947.8868;20593542.8674;21580822.6251;12195011.2870;5270113.2842;25354384.6081;
2134;518478;23399261.4578;13493677.1074;14517729.5436;21101190.9351;20593067.8025;21582360.1428;12195006.8537;5269661.4337;25353703.5336;
2134;518479;23399859.3794;13495754.3305;14515395.1457;21100433.6491;20592592.4105;21583897.5049;12195002.5126;5269209.7404;25353022.1502;
2134;518480;23400457.0365;13497831.6000;14513060.6768;21099676.0289;20592116.6915;21585434.7114;12194998.2638;5268758.2045;25352340.4582;
2134;518481;23401054.4291;13499908.9157;14510726.1368;21098918.0745;20591640.6454;21586971.7621;12194994.1073;5268306.8258;25351658.4574;
2134;518482;23401651.5573;13501986.2777;14508391.5259;21098159.7858;20591164.2723;21588508.6571;12194990.0431;5267855.6043;25350976.1480;
2134;518483;23402248.4209;13504063.6859;14506056.8442;21097401.1629;20590687.5720;21590045.3963;12194986.0714;5267404.5399;25350293.5300;
2134;518484;23402845.0199;13506141.1402;14503722.0917;21096642.2057;20590210.5446;21591581.9796;12194982.1921;5266953.6327;25349610.6035;
2134;518485;23403441.3543;13508218.6405;14501387.2684;21095882.9142;20589733.1901;21593118.4069;12194978.4052;5266502.8827;25348927.3683;
2134;518486;23404037.4240;13510296.1868;14499052.3745;21095123.2885;20589255.5084;21594654.6782;12194974.7109;5266052.2897;25348243.8247;
2134;518487;23404633.2290;13512373.7791;14496717.4100;21094363.3285;20588777.4995;21596190.7935;12194971.1091;5265601.8537;25347559.9727;
2134;518488;23405228.7691;13514451.4172;14494382.3749;21093603.0342;20588299.1634;21597726.7527;12194967.6000;5265151.5747;25346875.8122;
2134;518489;23405824.0445;13516529.1011;14492047.2694;21092842.4056;20587820.5001;21599262.5556;12194964.1835;5264701.4527;25346191.3433;
2134;518490;23406419.0550;13518606.8308;14489712.0935;21092081.4427;20587341.5096;21600798.2024;12194960.8596;5264251.4876;25345506.5661;
2134;518491;23407013.8006;13520684.6062;14487376.8472;21091320.1454;20586862.1917;21602333.6929;12194957.6285;5263801.6794;25344821.4805;
2134;518492;23407608.2812;13522762.4273;14485041.5306;21090558.5139;20586382.5466;21603869.0270;12194954.4902;5263352.0281;25344136.0867;
2134;518493;23408202.4969;13524840.2939;14482706.1439;21089796.5480;20585902.5741;21605404.2047;12194951.4447;5262902.5336;25343450.3847;
2134;518494;23408796.4474;13526918.2060;14480370.6870;21089034.2478;20585422.2744;21606939.2259;12194948.4921;5262453.1959;25342764.3744;
2134;518495;23409390.1329;13528996.1636;14478035.1600;21088271.6133;20584941.6472;21608474.0907;12194945.6323;5262004.0149;25342078.0560;
2134;518496;23409983.5533;13531074.1667;14475699.5631;21087508.6444;20584460.6927;21610008.7988;12194942.8655;5261554.9906;25341391.4294;
2134;518497;23410576.7084;13533152.2150;14473363.8961;21086745.3411;20583979.4108;21611543.3504;12194940.1917;5261106.1231;25340704.4948;
2134;518498;23411169.5983;13535230.3087;14471028.1594;21085981.7035;20583497.8015;21613077.7452;12194937.6109;5260657.4122;25340017.2521;
2134;518499;23411762.2230;13537308.4475;14468692.3527;21085217.7315;20583015.8648;21614611.9833;12194935.1232;5260208.8578;25339329.7014;
2134;518500;23412354.5823;13539386.6316;14466356.4764;21084453.4251;20582533.6006;21616146.0646;12194932.7286;5259760.4601;25338641.8427;
2134;518501;23412946.6763;13541464.8607;14464020.5303;21083688.7843;20582051.0089;21617679.9890;12194930.4271;5259312.2189;25337953.6761;
2134;518502;23413538.5048;13543543.1349;14461684.5147;21082923.8091;20581568.0897;21619213.7565;12194928.2189;5258864.1342;25337265.2016;
2134;518503;23414130.0679;13545621.4541;14459348.4295;21082158.4995;20581084.8430;21620747.3670;12194926.1039;5258416.2060;25336576.4192;
2134;518504;23414721.3655;13547699.8183;14457012.2748;21081392.8555;20580601.2688;21622280.8204;12194924.0821;5257968.4342;25335887.3290;
2134;518505;23415312.3975;13549778.2273;14454676.0507;21080626.8771;20580117.3670;21623814.1168;12194922.1537;5257520.8188;25335197.9310;
2134;518506;23415903.1640;13551856.6811;14452339.7572;21079860.5642;20579633.1376;21625347.2560;12194920.3187;5257073.3598;25334508.2252;
2134;518507;23416493.6648;13553935.1797;14450003.3945;21079093.9169;20579148.5806;21626880.2381;12194918.5770;5256626.0571;25333818.2118;
2134;518508;23417083.8999;13556013.7229;14447666.9625;21078326.9352;20578663.6960;21628413.0628;12194916.9289;5256178.9107;25333127.8906;
2134;518509;23417673.8693;13558092.3108;14445330.4614;21077559.6190;20578178.4838;21629945.7302;12194915.3742;5255731.9205;25332437.2618;
2134;518510;23418263.5729;13560170.9433;14442993.8912;21076791.9684;20577692.9439;21631478.2403;12194913.9130;5255285.0866;25331746.3254;
